iteration,batch_number,stick_number,index_log,stick_weight,sugar_amount,iteration_since_maintenance,wait_time,cook_time,cooldown_time,start_temp,cook_temp,cooled_temp,duration_till_handover,duration_total,show_start_time,show_end_time,duration_cc_flow,diff_flow,diff_flow_stop,baseline_env_EnvH,baseline_env_EnvT,before_turn_on_env_InH,before_turn_on_env_InT,before_turn_on_env_IrO,before_turn_on_env_IrA,after_flow_start_env_InH,after_flow_start_env_InT,after_flow_start_env_IrO,after_flow_start_env_IrA,after_flow_end_env_InH,after_flow_end_env_InT,after_flow_end_env_IrO,after_flow_end_env_IrA,before_cooldown_env_InH,before_cooldown_env_InT,before_cooldown_env_IrO,before_cooldown_env_IrA,after_cooldown_env_InH,after_cooldown_env_InT,after_cooldown_env_IrO,after_cooldown_env_IrA,touch_pos1,touch_pos2,touch_pos3,max_pos1,max_pos2,max_pos3,cc_weight,quality_score,my_score,Unnamed: 51
0.0,0.0,0.0,61169.0,1.8,1.0,52.0,102.0,105.0,60.0,25.49,31.75,62.03,286.56,524.56,47:32,49:11,98.9,,,63.73,24.59,39.26,37.9,25.67,25.99,50.03,32.05,60.73,27.07,39.62,38.11,87.29,30.07,,,,,37.22,39.28,59.73,31.33,2.0,2.0,3.0,30.8,0.0,21.91,10.02,,60,
1.0,0.0,1.0,61177.0,1.8,1.0,53.0,102.0,105.0,60.0,58.89,60.63,64.65,289.77,478.86,54:58,55:51,53.71,,,62.78,24.65,37.33,39.2,59.01,31.41,39.26,37.9,65.47,31.07,35.94,40.66,77.81,31.51,33.09,42.7,83.27,31.45,34.42,41.36,62.35,31.09,4.0,1.0,3.0,23.54,7.08,2.46,8.48,,15,
2.0,0.0,2.0,61184.0,1.8,1.0,54.0,102.0,105.0,60.0,61.85,62.47,61.63,287.95,484.25,02:51,03:42,51.01,,,62.49,24.72,34.53,41.3,61.77,31.05,36.72,39.58,66.27,31.09,33.25,42.66,79.31,31.69,,,,,34.14,41.51,59.33,31.37,1.0,4.0,3.0,27.52,0.0,22.54,8.19,,10,
3.0,0.0,3.0,61191.0,1.8,1.0,55.0,102.0,105.0,60.0,58.63,60.55,76.97,292.07,438.94,11:04,12:07,62.88,,,62.44,24.72,34.24,41.45,58.45,31.29,36.89,39.47,66.15,31.15,31.62,44.17,80.85,32.23,32.01,43.53,77.57,31.91,32.04,43.49,74.67,31.87,5.0,4.0,6.0,32.47,30.77,19.16,8.2,,8,
4.0,1.0,0.0,61233.0,1.8,1.0,0.0,102.0,105.0,60.0,25.41,31.05,60.03,286.41,466.78,08:33,09:34,60.96,,,60.44,23.63,62.36,24.53,25.47,25.29,49.03,30.76,58.79,26.11,41.48,35.09,74.01,28.25,35.35,39.15,78.99,30.21,36.02,38.41,57.73,29.85,1.0,3.0,1.0,34.85,2.58,13.55,9.99,,80,
5.0,1.0,1.0,61240.0,1.8,1.0,1.0,94.0,95.0,60.0,59.27,58.51,62.61,278.77,540.23,15:03,15:39,35.2,,,60.35,23.8,36.1,38.34,58.15,29.91,38.22,36.79,61.63,30.07,36.12,38.6,69.87,30.03,,,,,33.57,40.39,60.31,30.95,7.0,2.0,15.0,22.04,3.88,6.38,9.0,,3,
6.0,1.0,2.0,61247.0,1.8,1.0,2.0,78.0,75.0,60.0,59.85,59.93,64.11,232.58,428.9,23:55,24:44,48.69,,,60.13,24.0,33.64,40.32,61.21,30.95,35.77,38.73,62.75,31.25,34.24,39.98,74.37,31.35,,,,,32.96,40.96,61.81,31.41,4.0,1.0,5.0,18.22,7.51,2.8,9.04,,10,
7.0,1.0,3.0,61254.0,1.8,1.0,3.0,54.0,45.0,60.0,60.25,61.75,63.67,181.31,426.19,31:06,32:09,63.3,,,60.18,24.08,33.03,40.94,60.77,31.41,35.25,39.2,63.25,31.47,32.37,41.7,76.21,31.89,32.13,41.94,77.71,31.71,32.81,41.21,61.37,31.53,5.0,1.0,13.0,28.39,10.24,22.8,9.59,,20,
8.0,1.0,4.0,61261.0,1.8,1.0,4.0,22.0,5.0,60.0,60.31,61.53,59.09,111.16,293.1,38:12,38:38,25.82,,,60.22,24.14,32.87,41.15,61.29,31.55,35.03,39.39,62.97,31.63,34.1,40.28,68.37,31.45,32.12,42.04,71.77,32.37,33.4,40.79,56.79,31.95,4.0,1.0,1.0,21.11,3.93,18.12,7.17,,50,
10.0,2.0,0.0,61272.0,1.8,1.0,6.0,102.0,105.0,60.0,27.61,33.39,60.75,288.13,474.44,04:07,05:10,63.01,,,60.41,24.29,35.35,39.03,27.41,26.99,45.82,32.86,58.47,27.67,38.97,37.24,71.95,29.81,34.06,40.77,77.79,32.41,34.64,40.13,58.45,32.13,1.0,1.0,4.0,34.86,13.28,14.73,12.18,,60,
11.0,2.0,1.0,61279.0,1.8,1.0,7.0,94.0,95.0,60.0,57.87,58.05,64.17,276.37,472.5,10:52,11:50,58.07,,,60.8,24.36,34.71,40.07,58.29,32.07,37.07,38.3,62.85,31.83,32.95,41.87,76.23,32.07,31.98,42.62,80.75,32.51,32.45,41.98,61.87,32.35,6.0,1.0,3.0,12.89,46.57,7.55,9.33,,25,
12.0,2.0,2.0,61286.0,1.8,1.0,8.0,86.0,85.0,60.0,58.37,54.71,58.33,345.43,592.13,20:14,21:08,53.61,,,60.77,24.36,32.49,41.96,60.53,32.37,37.29,38.15,62.47,32.05,33.69,41.15,74.31,32.13,31.79,42.74,72.33,32.43,33.3,41.21,56.03,31.93,8.0,1.0,10.0,26.01,6.37,24.29,9.88,,35,
13.0,2.0,3.0,61293.0,1.8,1.0,9.0,78.0,75.0,60.0,56.51,57.11,82.45,238.43,420.24,28:41,29:39,58.04,,,60.83,24.4,33.37,41.13,55.41,31.91,35.89,39.22,62.71,31.57,33.03,41.72,74.13,31.83,32.03,42.59,80.09,32.69,32.04,42.64,80.15,32.69,10.0,1.0,14.0,16.33,19.07,24.24,9.68,,10,
14.0,3.0,0.0,61360.0,1.8,1.0,10.0,102.0,105.0,60.0,24.51,30.59,61.13,297.14,479.32,31:43,32:53,70.28,,,61.72,23.91,64.94,24.21,24.39,24.61,50.2,30.84,56.93,25.55,41.96,35.35,70.95,27.79,36.53,38.81,76.15,29.63,36.57,38.56,58.83,29.81,1.0,1.0,1.0,24.11,10.21,9.25,9.49,44.16,65,
16.0,4.0,0.0,61373.0,1.8,1.0,12.0,50.0,50.0,60.0,31.75,39.31,58.59,188.25,458.43,59:43,00:27,44.73,,,63.35,23.27,50.66,29.4,31.75,28.45,45.66,32.52,57.73,26.99,40.87,35.49,66.53,27.61,36.3,38.64,76.15,31.31,36.92,37.96,56.29,31.07,5.0,1.0,7.0,17.71,1.95,32.25,5.54,18.94,30,
17.0,4.0,1.0,61383.0,1.8,1.0,13.0,55.0,55.0,60.0,53.31,58.57,60.57,200.33,445.73,06:23,07:14,51.21,,,63.08,23.36,37.11,37.9,55.75,31.05,38.86,36.6,61.67,30.59,35.75,39.03,70.43,30.65,34.52,39.85,73.83,31.33,35.44,39.05,58.27,31.01,4.0,1.0,7.0,37.48,9.37,12.08,9.37,48.55,20,
18.0,4.0,2.0,61390.0,1.8,1.0,14.0,60.0,60.0,60.0,58.43,58.89,62.27,208.95,471.62,13:49,14:30,40.51,,,63.23,23.29,35.61,38.85,57.99,31.01,37.83,37.24,62.19,30.67,34.1,40.41,72.41,30.51,33.0,41.15,78.83,31.13,33.93,40.19,59.97,31.15,6.0,1.0,8.0,28.49,16.99,9.06,8.98,44.27,15,
